timestamp_s,power_mw,sm_clock_mhz
1776365173.990,56132,690
1776365174.093,56132,690
1776365174.196,173560,690
1776365174.298,176642,690
1776365174.401,176314,690
1776365174.504,176314,690
1776365174.606,176924,690
1776365174.709,154555,690
1776365174.813,154713,690
1776365174.917,157807,690
1776365175.020,162107,690
1776365175.123,162107,690
1776365175.226,162107,690
1776365175.329,162381,690
1776365175.431,159624,690
1776365175.534,163321,690
1776365175.637,161441,690
1776365175.741,162984,690
1776365175.844,162710,690
1776365175.946,161770,690
1776365176.049,162544,690
1776365176.152,161941,690
1776365176.254,161276,690
1776365176.357,160236,690
1776365176.460,164085,690
1776365176.563,162544,690
1776365176.667,162544,690
1776365176.770,162544,690
1776365176.872,163428,690
1776365176.975,162817,690
1776365177.078,161002,690
1776365177.181,161276,690
1776365177.287,162817,690
1776365177.392,163154,690
1776365177.494,161605,690
1776365177.597,161941,690
1776365177.699,163154,690
1776365177.802,163154,690
1776365177.905,162544,690
1776365178.007,162544,690
1776365178.110,160674,690
1776365178.213,163428,690
1776365178.316,163428,690
1776365178.418,162544,690
1776365178.521,161605,690
1776365178.624,161276,690
1776365178.726,160838,690
1776365178.829,161439,690
1776365178.931,162987,690
1776365179.034,161776,690
1776365179.137,162049,690
1776365179.240,162377,690
1776365179.345,161439,690
1776365179.448,160509,690
1776365179.550,164527,690
1776365179.653,163094,690
1776365179.755,161883,690
1776365179.858,162820,690
1776365179.961,163094,690
1776365180.063,163094,690
1776365180.166,162820,690
1776365180.269,161883,690
1776365180.372,162211,690
1776365180.474,162211,690
1776365180.577,162211,690
1776365180.680,160673,690
1776365180.782,162820,690
1776365180.885,160946,690
1776365180.988,162211,690
1776365181.091,162820,690
1776365181.195,161776,690
1776365181.298,163589,690
1776365181.400,162211,690
1776365181.503,162211,690
1776365181.606,161111,690
1776365181.711,162820,690
1776365181.814,161274,690
1776365181.917,161274,690
1776365182.020,162820,690
1776365182.122,161883,690
1776365182.225,163917,690
1776365182.328,162211,690
1776365182.430,162484,690
1776365182.535,160345,690
1776365182.638,165233,690
1776365182.741,161610,690
1776365182.845,162211,690
1776365182.947,163094,690
1776365183.050,162211,690
1776365183.153,162211,690
1776365183.255,162377,690
1776365183.358,161776,690
1776365183.461,161610,690
1776365183.564,162651,690
1776365183.667,162049,690
1776365183.771,163749,690
1776365183.875,162484,690
1776365183.977,161883,690
1776365184.080,161776,690
1776365184.183,161111,690
1776365184.285,161883,690
1776365184.388,161274,690
1776365184.490,162820,690
1776365184.593,162377,690
1776365184.696,162484,690
1776365184.799,163421,690
